Survey_ID,Primary_vegetation,Secondary_vegetation,Temp,Wind_speed ,Wind_direction,Cloud_cover,Humidity,Moon_luminosity
ERT_20_Aug_River,1,2,17,13,1,5,61,3
ERT_02_Sep_River,1,2,21,13,2,65,70,100
ERT_06_Aug_River,1,2,18,7,3,19,67,92
ERT_11_Jul_River,1,2,23,17,4,76,68,58.3
ERT_17_Jul_River,1,2,20,7,2,11,68,12
ERT_14_Sep_River,1,2,7,4,5,2,88,12
ERT_13_Aug_River,1,2,22,11,3,3,53,33
ERT_27_Aug_River,1,2,21,15,4,39,70,69
ERT_28_Jul_River,1,2,22,9,1,17,49,61
ERT_31_Jul_River,1,2,20,9,6,5,68,89
HAN_05_Aug_Forest,3,4,16,9,4,45,62,97
HAN_07_Aug_Forest,3,4,21,7,7,35,55,86
HAN_09_Jul_Forest,3,4,28,9,8,35,53,78.1
HAN_12_Aug_Forest,3,4,17,6,5,5,83,43
HAN_15_Jul_Forest,3,4,21,11,8,71,76,21.3
HAN_16_Sep_Forest,3,4,16,17,1,100,78,2
HAN_19_Aug_Forest,3,4,16,11,4,10,61,1
HAN_22_Jul_Forest,3,4,23,9,3,52,89,5
HAN_24_Aug_Forest,3,4,24,13,6,5,78,36
MEC_04_Aug_Forest,5,2,18,15,4,45,73,100
MEC_04_Sep_Forest,5,2,13,15,2,14,56,96
MEC_06_Jul_Forest,5,2,23,0,4,20,88,98
MEC_07_Sep_Forest,5,2,14,11,4,25,69,77
MEC_10_Aug_Forest,5,2,25,17,1,31,54,62
MEC_14_Jul_Forest,5,2,20,9,8,10,79,30.2
MEC_16_Aug_Forest,5,2,18,8,2,44,78,9
MEC_20_Jul_Forest,5,2,20,15,4,7,66,1
MEC_21_Sep_Forest,5,2,19,9,5,64,79,65
MEC_23_Aug_Forest,5,2,23,9,1,21,62,26
RSP_05_Sep_River,5,1,13,11,1,19,77,91
RSP_08_Aug_River,5,1,22,11,1,25,60,79
RSP_08_Jul_River,5,1,26,9,4,18,51,84.9
RSP_13_Jul_River,5,1,21,15,4,12,58,39.2
RSP_15_Aug_River,5,1,20,9,8,38,62,24
RSP_21_Jul_River,5,1,21,7,4,46,69,1
RSP_22_Aug_River,5,1,22,7,2,8,67,9
RSP_23_Sep_River,5,1,19,9,4,1,70,44
RSP_29_Jul_River,5,1,20,11,6,80,64,72
RSP_31_Aug_River,5,1,18,15,3,39,75,98
